name,office,party,image url,website,facebook,mailing address
Michael E. Keasler,"Judge, Court of Criminal Appeals Place 6",REP,http://static.wixstatic.com/media/19eaba_6069d19f4cd3403582e258a887acb500.png_srz_240_305_85_22_0.50_1.20_0.00_png_srz,,,"3506 River Road Austin, Texas 78703"
Ken Mercer,"Member, State Board of Education, District 5",REP,http://tea.texas.gov/uploadedImages/MainSite/Content/About_TEA/Leadership/State_Board_of_Education/Board_Members/5-Ken_Mercer.jpg?n=4959,http://votekenmercer.com/,https://www.facebook.com/KenMercerTX/?fref=photo,"PO Box 781301 San Antonio, TX 78278"
Rebecca Bell-Metereau,"Member, State Board of Education, District 5",DEM,http://offthekuff.com/wp/wp-content/uploads/2010/07/RebeccaBellMetereau.jpg,,,"P.O. Box 425 San Marcos, TX 78666"
Peter P. Flores,"State Senator, District 19",REP,https://bexargopblog.files.wordpress.com/2015/12/image.png?w=109&h=150,,https://www.facebook.com/Peter-Flores-for-Texas-State-Senate-168685076824863/,"111 Live Oak Drive Pleasanton, TX 78064"
Carlos I. Uresti,"State Senator, District 19",DEM,http://www.uresti.senate.state.tx.us/assets/photos/Uresti.jpg,,https://www.facebook.com/carlosuresti,"924 McCullough Ave. San Antonio, TX 78215"
Helen Madla,"State Senator, District 19",DEM,https://pbs.twimg.com/media/CWRwC4qUwAAQBlL.jpg,http://www.helenforsenate.com/,https://www.facebook.com/HelenMadlaTexas/,"6038 Reefridge San Antonio, TX 78242"
Judith Zaffirini,"State Senator, District 21",DEM,http://cdn.tribtalk.org/media/authors/Zaffirini-Judith768_jpg_800x1000_q100.jpg,,,"P.O. Box 627 Laredo, TX 78042"
Jose Menendez,"State Senator, District 26",DEM,http://www.josemenendez.com/wp-content/uploads/2014/02/RepMenendez-11.jpg,,https://www.facebook.com/Menendez4Texas,"P.O. Box 761780 San Antonio, Texas 78245"
Trey Martinez Fischer,"State Senator, District 26",DEM,http://www.house.state.tx.us/photos/members/2835.jpg,http://www.treymartinezfischer.com/,https://www.facebook.com/TMFTx/,"2248 W Magnolia San Antonio, TX 78201"
Martin Golando,State Representative District 116,DEM,https://pbs.twimg.com/profile_images/686983048244494336/FgQC1cS3.png,http://www.votemartingolando.com/,https://www.facebook.com/MartinGolando/timeline?ref=page_internal,"2326 W Magnolia San Antonio, TX 78201"
Diana Arévalo,State Representative District 116,DEM,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10957743_1069029193123059_3494823326823910924_n.jpg?oh=a7f109d748742402f760fe08dcf36d37&oe=56FB2C59,http://www.dianaarevalo.com/,https://www.facebook.com/DianaArevalo116/,"242 Leming Drive San Antonio, TX 78201"
Ruby Resendez,State Representative District 116,DEM,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xlt1/t31.0-8/s960x960/12419066_1547874688865087_7975213771497591923_o.jpg,http://vote4ruby.com/,https://www.facebook.com/vote4rubyresendez/,"4107 Medical Drive #4108 San Antonio, TX 78229"
Rick Galindo,State Representative District 117,REP,https://bexargopblog.files.wordpress.com/2015/11/photorickgalindo.jpg,http://www.rickgalindo.com/,,"1010 Iris Path San Antonio, TX 78245"
Philip Cortez,State Representative District 117,DEM,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xat1/v/t1.0-9/1377202_485331958241256_1185384493_n.jpg?oh=6e081fd0a9886ecc346f5d995ac34d84&oe=573E2C81,http://www.philipcortez.com/,https://www.facebook.com/philipcortez.campaign,"7919 Liberty Island San Antonio, Texas 78227"
John Lujan,State Representative District 118,REP,https://www.facebook.com/VoteLujan/,http://www.votelujan.com/,https://www.facebook.com/VoteLujan/,"20003 FM 1937 San Antonio, TX 78221"
Tomas Uresti,State Representative District 118,DEM,http://i1.wp.com/tomasuresti.com/home/wp-content/uploads/2014/09/Headshot1-e1452828962860.jpg?fit=600%2C630,http://tomasuresti.com/home/,,"243 Creath Place San Antonio, Texas 78221"
Gabe Farias,State Representative District 118,DEM,http://3.bp.blogspot.com/-Dg6bIRY9eTg/Vd_FTh8875I/AAAAAAAAPBI/NI7_cgedvvo/s1600/IMG_5209.JPG,http://gabefarias.com/,https://www.facebook.com/gabefor118/,"P.O. Box 14505 San Antonio, Texas 78214"
Robert A. Casias,State Representative District 118,REP,http://static.wixstatic.com/media/9443fe_09fb5a46a3a36b2a84328225f8f66b56.jpg_256,http://robertcasias118state.wix.com/2,,"PO Box 580 Somerset, Texas 78069"
Roland Gutierrez,State Representative District 119,DEM,http://files.ctctcdn.com/e68ae1af001/44c3257d-8050-426d-a06c-483e346031c8.jpg,,,"1426 Napier San Antonio, Texas 78214"
Lou Miller,State Representative District 120,DEM,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/12074804_402715753261112_6721696039683986144_n.jpg?oh=c04b0b5a536a636ae9f455a8795cdd23&oe=57416475,http://www.loumiller.org/,https://www.facebook.com/Lou-Miller-Campaign-394731930726161/,"1717 N. Loop 1604 E, Ste 220 San Antonio, TX 78232"
Latronda Darnell,State Representative District 120,DEM,http://darnell4tx.org/wp-content/uploads/2016/01/LaTronda_bio.jpg,http://darnell4tx.org/,,"6447 Candleview Court San Antonio, TX 78248"
Barbara Gervin-Hawkins,State Representative District 120,DEM,http://static1.squarespace.com/static/566d1354a2bab89284fbfa82/t/567dc297d82d5e873666899a/1451082396080/Barbara,http://www.votegervin-hawkins.com/,https://www.facebook.com/Barbara-Gervin-Hawkins-Campaign-196826690654083/,"215 N. Center San Antonio, Texas 78202"
Art Hall,State Representative District 120,DEM,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xtp1/v/t1.0-9/12049200_1655373794701027_347555665641913194_n.jpg?oh=702ab862685036d9736338e35fa5d458&oe=574289BE,http://arthallfortexas.com/,https://www.facebook.com/arthallfortexas,"PO Box 866 San Antonio, Texas 78293"
Mario Salas,State Representative District 120,DEM,http://1.bp.blogspot.com/-NoSW-kfgYCo/T-P78nvZeaI/AAAAAAAAI-Q/FQoAJzvq-KI/s1600/towler+011.JPG,,https://www.facebook.com/Elect-Mario-Salas-Campaign-1914517352107319/,"P.O. Box 200591 San Antonio, Texas 78220"
"Byron Miller ""Educator""",State Representative District 120,DEM,https://scontent-dfw1-1.xx.fbcdn.net/hphotos-xpt1/v/t1.0-9/12187698_1011034815605269_4135496994863062105_n.jpg?oh=4dd847c1a0d36af93a79e58f9336a7d2&oe=574178C7,http://votebyronmiller.com/,https://www.facebook.com/votebyronmiller/timeline?ref=page_internal,"6306 Port Royal San Antonio, Texas 78244"
Sheila Bean,State Representative District 121,REP,https://bexargopblog.files.wordpress.com/2015/12/bean.jpg?w=122&h=150,http://www.sheilabean.com/,http://www.facebook.com/SheilaBean121,"P.O. Box 700064 San Antonio, TX 78270"
Joe Straus,State Representative District 121,REP,https://bexargopblog.files.wordpress.com/2015/12/sjscapitol.jpg?w=100&h=150,http://www.joestraus.org/,http://www.facebook.com/speakerjoestraus,"P.O. Box 90388 San Antonio, TX 78209"
Jeff Judson,State Representative District 121,REP,https://bexargopblog.files.wordpress.com/2015/11/jeff-judson-e1448122315548.jpg?w=150&h=150,http://www.jeffjudson.com/,http://www.facebook.com/JeffMJudson,"P.O. Box 461146 San Antonio, TX 78246"
Lyle Larson,State Representative District 122,REP,https://bexargopblog.files.wordpress.com/2015/11/photolylelarson.jpg?w=107&h=150,lylelarson.org,https://www.facebook.com/Lyle-Larson-234118818638/,"632 High Country Ridge San Antonio, TX 78260"
